1.0.-Etxebizitza salerosketak. 2020ko 4. hiruhilekoa;;;;;;;
1.0.- Número de compraventas de vivienda. 4 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;
Nazionala/Nacional;ESPAÑA;113.799,00;22.842,00;90.957,00;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.361,00;703,00;3.658,00;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;22.770,00;4.831,00;17.939,00;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.353,00;779,00;2.574,00;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.276,00;571,00;1.705,00;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.497,00;468,00;2.029,00;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4.148,00;929,00;3.219,00;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.630,00;290,00;1.340,00;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;5.559,00;1.090,00;4.469,00;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;5.236,00;943,00;4.293,00;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;17.513,00;2.859,00;14.654,00;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2.091,00;240,00;1.851,00;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4.594,00;1.069,00;3.525,00;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;15.304,00;4.322,00;10.982,00;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;3.843,00;721,00;3.122,00;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.338,00;297,00;1.041,00;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;882,00;212,00;670,00;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;16.404,00;2.518,00;13.886,00;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;533,00;52,00;481,00;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;390,00;97,00;293,00;;;
Hiriburak/Capitales de TTHH;Bilbao;622,00;67,00;555,00;;;
