1.0.-Etxebizitza salerosketak. 2020ko 4. hiruhilekoa;;;;;;;
1.0.- Número de compraventas de vivienda. 4 trimestre 2020;;;;;;;
;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;182,00;16,00;166,00;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.034,00;138,00;896,00;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.306,00;280,00;1.026,00;;;
Eskualde Egitura/Áreas funcionales;Álava Central;625,00;60,00;565,00;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;52,00;2,00;50,00;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;171,00;47,00;124,00;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.617,00;293,00;1.324,00;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;839,00;141,00;698,00;;;
Eskualde Egitura/Áreas funcionales;Durango;108,00;22,00;86,00;;;
Eskualde Egitura/Áreas funcionales;Eibar;143,00;27,00;116,00;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;82,00;10,00;72,00;;;
Eskualde Egitura/Áreas funcionales;Igorre;20,00;5,00;15,00;;;
Eskualde Egitura/Áreas funcionales;Laguardia;19,00;6,00;13,00;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;76,00;3,00;73,00;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;73,00;19,00;54,00;;;
Eskualde Egitura/Áreas funcionales;Mungia;27,00;10,00;17,00;;;
Eskualde Egitura/Áreas funcionales;Tolosa;81,00;n.d.;n.d.;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;134,00;5,00;129,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;20,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;51,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;141,00;9,00;132,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;120,00;8,00;112,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;44,00;2,00;42,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;149,00;30,00;119,00;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;26,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;90,00;47,00;43,00;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;46,00;3,00;43,00;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;85,00;5,00;80,00;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;37,00;3,00;34,00;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;102,00;39,00;63,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;107,00;4,00;103,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;81,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;52,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;41,00;1,00;40,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;107,00;5,00;102,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;83,00;27,00;56,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;105,00;21,00;84,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;43,00;9,00;34,00;;;
;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2020ko 4. hiruhilekoa;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 4 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;
Nazionala/Nacional;ESPAÑA;1.698,83;1.903,51;1.646,89;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.847,66;3.485,10;2.726,88;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.405,17;1.671,59;1.331,53;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.446,14;1.891,28;1.298,52;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.327,50;1.458,39;1.283,13;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.673,73;2.755,00;2.654,75;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.758,32;1.579,39;1.810,60;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.535,88;1.573,48;1.527,32;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.024,22;1.402,19;929,62;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;792,00;950,45;756,49;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.181,68;2.401,90;2.136,96;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;722,16;995,72;687,28;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.281,82;1.276,01;1.283,59;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.658,11;2.485,55;2.720,52;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.030,78;1.162,62;999,31;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.546,05;1.761,39;1.483,65;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.009,15;1.058,94;991,91;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.310,76;1.763,57;1.223,96;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;2.270,41;2.424,47;2.260,55;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;5.148,60;5.709,15;4.944,35;;;
Hiriburak/Capitales de TTHH;Bilbao;2.681,76;3.720,25;2.559,71;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.870,96;1.245,99;1.923,04;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.509,97;2.297,69;2.542,61;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.805,21;3.356,31;2.654,29;;;
Eskualde Egitura/Áreas funcionales;Álava Central;2.164,52;2.217,70;2.160,76;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;2.162,18; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;2.049,09;2.302,54;1.922,36;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.829,26;3.605,34;2.658,57;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.881,20;5.045,78;3.657,46;;;
Eskualde Egitura/Áreas funcionales;Durango;2.381,62;2.482,94;2.357,36;;;
Eskualde Egitura/Áreas funcionales;Eibar;2.000,55;1.825,37;2.050,06;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.250,11; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Igorre;2.396,81; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Laguardia;957,91; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;2.336,52; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.813,74;1.966,79;1.748,69;;;
Eskualde Egitura/Áreas funcionales;Mungia;4.266,23; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Tolosa;2.212,40; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;3.073,85; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.863,83; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.853,10; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;2.428,82; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.868,11; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;2.127,33; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;2.307,83; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;4.874,15; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;6.555,81;6.737,91;6.323,12;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;4.722,39; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;5.643,24; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;5.264,71; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;3.735,70;4.545,46;3.216,23;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.629,65; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.570,54; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.659,26; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.592,24; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;2.355,46; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;4.263,70;4.803,56;3.999,77;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.125,39;2.085,89;2.136,30;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;3.513,25; n.d. ; n.d. ;;;
;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2020ko 4. hiruhilekoa;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 4 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;
Nazionala/Nacional;ESPAÑA;2.597,83;1.924,66;1.734,35;1.686,56;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.265,64;2.704,86;2.604,53;2.829,60;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;2.185,82;1.452,58;1.388,90;1.437,50;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.529,56;1.426,25;1.493,86;1.672,37;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.622,54;1.328,33;1.248,59;1.364,53;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.189,11;2.861,04;2.443,05;2.641,59;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.659,44;2.056,38;1.631,75;1.447,13;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.815,25;1.625,86;1.559,62;1.518,12;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.496,51;988,80;1.106,90;1.153,25;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;993,61;856,08;784,63;871,17;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.831,48;2.391,70;2.254,78;2.277,77;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.117,56;763,87;825,81;844,83;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2.049,14;1.382,22;1.325,91;1.349,15;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;4.064,82;2.831,70;2.514,77;2.676,71;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.441,82;1.137,24;1.043,33;950,51;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;2.617,89;1.991,25;1.730,94;1.610,15;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.513,72;1.111,66;1.068,18;984,31;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.765,24;1.397,09;1.303,10;1.208,05;;
;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2020ko 4. hiruhilekoa;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 4 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;
Nazionala/Nacional;ESPAÑA;1.802,80;1.413,21;1.274,48;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.802,41;3.543,27;3.283,08;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.489,28;1.168,49;1.041,70;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.604,96;970,12;759,39;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.361,22;1.238,61;1.125,19;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.669,02;2.278,83;2.998,43;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.043,10;983,06;630,72;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;827,19;644,22;384,53;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.385,57;945,82;857,63;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.133,71;971,31;504,16;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;847,69;808,43;617,12;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.737,14;2.098,72;1.514,85;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.569,65;1.410,14;1.372,52;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.310,06;1.773,00;1.736,02;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.780,98;1.928,34;2.365,64;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.033,55;1.205,73;786,21;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.692,93;1.257,14;1.147,18;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.316,13;1.398,91;1.219,59;;;
;;;;;;;
1.2.- Hiri-lurraren batez besteko prezioa (€/m2). 2020ko 4. hiruhilekoa;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 4 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;445,25;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;428,29;;;;;
Lurraldea/TTHH;GIPUZKOA;582,65;;;;;
Lurraldea/TTHH;BIZKAIA;412,77;;;;;
;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldaketa (%). 2020ko 4. hiruhilekoa;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 4 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS
Nazionala/Nacional;ESPAÑA;1,22;-0,50;-0,20;-15,45;-0,40;0,08
Euskadi/País Vasco;EUSKADI/PAIS VASCO;6,99;-0,30;-0,20;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1,99;-0,30;0,00;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;7,00;-0,60;-0,20;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;7,34;-0,60;0,20;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;5,26;-0,40;-3,20;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;-2,24;-0,10;-3,40;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;-0,16;-0,50;-0,50;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1,68;-0,70;0,30;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;1,64;-0,90;0,40;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1,54;-0,60;0,30;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;6,55;-0,50;-1,20;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;0,62;-0,40;-0,30;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;MADRIL/MADRID;1,44;-0,80;-0,20;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;-2,08;-0,40;0,50;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;4,17;-0,60;0,20;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;0,16;-0,80;0,00;-15,45;-0,40;0,08
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;0,63;-0,50;-0,60;-15,45;-0,40;0,08
;;;;;;;
1.4.- Atzerritarren salerosketak. 2020ko 4. hiruhilekoa;;;;;;;
1.4.- Compraventas de extranjeros. 4 trimestre 2020;;;;;;;
;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;
ESPAÑA;España;100.370,00;0,89;-;;;
ESPAÑA;Reino Unido;1.754,00;0,02;0,15;;;
ESPAÑA;Francia;983,00;0,01;0,08;;;
ESPAÑA;Alemania;973,00;0,01;0,08;;;
ESPAÑA;Marruecos;881,00;0,01;0,07;;;
ESPAÑA;Belgica;740,00;0,01;0,06;;;
ESPAÑA;Suecia;629,00;0,01;0,05;;;
ESPAÑA;Italia;628,00;0,01;0,05;;;
ESPAÑA;Rumania;619,00;0,01;0,05;;;
ESPAÑA;Holanda;395,00;0,00;0,03;;;
ESPAÑA;Rusia;296,00;0,00;0,02;;;
ESPAÑA;China;283,00;0,00;0,02;;;
ESPAÑA;Polonia;177,00;0,00;0,01;;;
ESPAÑA;Ucrania;148,00;0,00;0,01;;;
ESPAÑA;Irlanda;132,00;0,00;0,01;;;
ESPAÑA;Bulgaria;129,00;0,00;0,01;;;
ESPAÑA;Noruega;124,00;0,00;0,01;;;
ESPAÑA;Suiza;120,00;0,00;0,01;;;
ESPAÑA;Dinamarca;117,00;0,00;0,01;;;
ESPAÑA;Estados Unidos;112,00;0,00;0,01;;;
ESPAÑA;Argelia;98,00;0,00;0,01;;;
ESPAÑA;Gainerakoa/Resto;2.582,00;0,02;0,22;;;
;;;;;;;
1.4.- Atzerritarren salerosketak. 2020ko 4. hiruhilekoa;;;;;;;
1.4.- Compraventas de extranjeros. 4 trimestre 2020;;;;;;;
;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;
EUSKADI/PAÍS VASCO;España;4.160,00;0,98;-;;;
EUSKADI/PAÍS VASCO;Rumania;24,00;0,01;0,23;;;
EUSKADI/PAÍS VASCO;Marruecos;5,00;0,00;0,05;;;
EUSKADI/PAÍS VASCO;Portugal;5,00;0,00;0,05;;;
EUSKADI/PAÍS VASCO;Reino Unido;4,00;0,00;0,04;;;
EUSKADI/PAÍS VASCO;Italia;4,00;0,00;0,04;;;
EUSKADI/PAÍS VASCO;Pakistan;4,00;0,00;0,04;;;
EUSKADI/PAÍS VASCO;China;4,00;0,00;0,04;;;
EUSKADI/PAÍS VASCO;Francia;4,00;0,00;0,04;;;
EUSKADI/PAÍS VASCO;Ucrania;3,00;0,00;0,03;;;
EUSKADI/PAÍS VASCO;Chile;3,00;0,00;0,03;;;
EUSKADI/PAÍS VASCO;Venezuela;2,00;0,00;0,02;;;
EUSKADI/PAÍS VASCO;Alemania;2,00;0,00;0,02;;;
EUSKADI/PAÍS VASCO;Argentina;2,00;0,00;0,02;;;
EUSKADI/PAÍS VASCO;Brasil;2,00;0,00;0,02;;;
EUSKADI/PAÍS VASCO;Bosnia-Herzegovina;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Peru;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Azerbaijan;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Mexico;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Nepal;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Suecia;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Turquia;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Rusia;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Anguilla;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Paraguay;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Bolivia;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Moldavia;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Colombia;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Gainerakoa/Resto;22,00;0,01;0,21;;;
;;;;;;;
1.5.-Etxebizitzen edukiaren batez besteko aldia (egunak/%). 2020ko 4. hiruhilekoa;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 4 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;
Nazionala/Nacional;ESPAÑA;5.793,00;8,94;11,59;12,03;67,44;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;8.393,00;2,92;7,26;10,98;78,84;
;;;;;;;
2.1.-Salerosketa-banaketa (%). 2020ko 4. hiruhilekoa;;;;;;;
2.1.- Distribución de compraventas (%). 4 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;LIBRE BERRIA NUEVA LIBRE;BERRIA BABESTUA NUEVA VPO;LIBRE ERABILIA USADA LIBRE;ERABILIA BABESTUA USADA VPO;;
Nazionala/Nacional;ESPAÑA;18,61;1,46;73,65;6,28;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;14,70;1,42;77,80;6,08;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;19,53;1,68;71,99;6,80;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;22,16;1,07;67,17;9,60;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;21,84;3,25;64,76;10,15;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;18,70;0,04;79,97;1,29;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;21,79;0,60;74,95;2,66;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;17,36;0,43;76,31;5,90;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;18,33;1,28;73,56;6,83;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;17,21;0,80;78,65;3,34;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;15,67;0,65;76,87;6,81;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;9,13;2,34;72,36;16,17;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;22,77;0,50;74,42;2,31;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;24,29;3,95;67,38;4,38;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;17,75;1,01;74,24;7,00;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;20,40;1,79;70,02;7,79;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;23,24;0,79;67,27;8,70;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;14,72;0,63;77,28;7,37;;
