1.0.-Etxebizitzen salerosketa kopurua. 2018ko 3. hiruhilekoa;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2018;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;
Nazionala/Nacional;ESPAÑA;133.295,00;23.420,00;109.875,00;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;5.064,00;738,00;4.326,00;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;26.362,00;4.627,00;21.735,00;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.413,00;614,00;2.799,00;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.420,00;557,00;1.863,00;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;4.139,00;621,00;3.518,00;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;6.051,00;1.227,00;4.824,00;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.632,00;344,00;1.288,00;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;5.222,00;1.019,00;4.203,00;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;4.887,00;1.088,00;3.799,00;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;20.771,00;2.975,00;17.796,00;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.917,00;262,00;1.655,00;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4.245,00;876,00;3.369,00;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;20.048,00;4.447,00;15.601,00;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;4.412,00;659,00;3.753,00;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.665,00;488,00;1.177,00;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;865,00;131,00;734,00;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;20.182,00;2.747,00;17.435,00;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;576,00;62,00;514,00;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;466,00;33,00;433,00;;;;;
Hiriburak/Capitales de TTHH;Bilbao;875,00;74,00;801,00;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;108,00;15,00;93,00;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.238,00;302,00;936,00;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.641,00;266,00;1.375,00;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;623,00;67,00;556,00;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;51,00;10,00;41,00;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;178,00;51,00;127,00;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.180,00;225,00;1.955,00;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;1.050,00;222,00;828,00;;;;;
Eskualde Egitura/Áreas funcionales;Durango;169,00;80,00;89,00;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;143,00;25,00;118,00;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;51,00;7,00;44,00;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;18,00;8,00;10,00;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;18,00;11,00;7,00;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;56,00;n.d.;n.d.;;;;;
