1.0.-Etxebizitzen salerosketa kopurua. 2022ko 1. hiruhilekoa;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2022;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;164.299,00;32.316,00;131.983,00;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;6.371,00;1.129,00;5.242,00;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;34.215,00;7.490,00;26.725,00;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;4.136,00;793,00;3.343,00;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.851,00;547,00;2.304,00;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;4.773,00;867,00;3.906,00;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;6.702,00;1.287,00;5.415,00;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2.145,00;333,00;1.812,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;7.111,00;1.518,00;5.593,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;6.870,00;1.324,00;5.546,00;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;25.189,00;4.408,00;20.781,00;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2.703,00;416,00;2.287,00;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;5.429,00;1.240,00;4.189,00;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;22.356,00;5.911,00;16.445,00;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;5.881,00;1.037,00;4.844,00;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.853,00;676,00;1.177,00;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.409,00;253,00;1.156,00;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;24.305,00;3.087,00;21.218,00;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;913,00;96,00;817,00;;;;
Lurraldea/TTHH;GIPUZKOA;1.964,00;245,00;1.719,00;;;;
Lurraldea/TTHH;BIZKAIA;3.494,00;788,00;2.706,00;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;704,00;69,00;635,00;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;458,00;78,00;380,00;;;;
Hiriburak/Capitales de TTHH;Bilbao;1.121,00;157,00;964,00;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;192,00;23,00;169,00;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.499,00;184,00;1.315,00;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.221,00;572,00;1.649,00;;;;
Eskualde Egitura/Áreas funcionales;Araba Erdialdea;802,00;80,00;722,00;;;;
